NAME,STATE_UT,Coal_OpenCast,Coal_BelowGround,TOT_AREA,TOT_POP,M_POP,F_POP,TOT_LIT,M_LIT,F_LIT,TOT_W,M_W,F_W,TOT_CULT,TOT_AGLB,TOT_NNW,R_TOT_POP,R_TOT_LIT,U_TOT_POP,U_TOT_LIT,ID
Karnal,Haryana,0,0,2520,1274183,0.536318566,0.463681434,0.574963722,0.643972208,0.495144842,0.357448655,0.501799909,0.190484331,0.082509341,0.044561888,0.642551345,0.734855982,0.531222065,0.265144018,0.696195263,810
Hanumangarh,Rajasthan,0,0,12650,1518005,0.527986403,0.472013597,0.524148471,0.623463167,0.413056737,0.413905751,0.516698982,0.298922987,0.194981571,0.04181475,0.586094249,0.800041502,0.500677252,0.199958498,0.618057706,2216
Jind,Haryana,0,0,2702,1189827,0.53981125,0.46018875,0.523314734,0.619621911,0.410344355,0.438673858,0.515571042,0.348471815,0.16190421,0.032853516,0.561326142,0.796964601,0.491104666,0.203035399,0.649747286,808
Fatehabad,Haryana,0,0,2538,806158,0.530742113,0.469257887,0.486477837,0.569090034,0.393041428,0.450252928,0.544238563,0.343952883,0.150579663,0.058249127,0.549747072,0.823661119,0.456110759,0.176338881,0.628319393,818
Bijnor,Uttar Pradesh,0,0,4561,3131619,0.527493287,0.472506713,0.466569848,0.553242675,0.369810727,0.282435699,0.46445141,0.079238446,0.07398218,0.054521319,0.717564301,0.756882622,0.455345134,0.243117378,0.50151507,2716
Muzaffarnagar,Uttar Pradesh,0,0,4008,3543362,0.534473192,0.465526808,0.490643914,0.580638621,0.387320631,0.331084716,0.489991192,0.148643553,0.091929642,0.051076068,0.668915284,0.744908367,0.472336975,0.255091633,0.544103102,2756
Nainital,Uttranchal,0,0,3860,762909,0.524641864,0.475358136,0.666830513,0.734935816,0.591664254,0.365636006,0.480562343,0.238794447,0.116391339,0.015591637,0.634363994,0.647336707,0.643092462,0.352663293,0.710403271,2608
Hisar,Haryana,0,0,3983,1537117,0.540310204,0.459689796,0.547975203,0.646006117,0.432751625,0.433000221,0.518732842,0.33223181,0.147223016,0.037208618,0.566999779,0.740996944,0.504514929,0.259003056,0.672313234,806
Champawat,Uttranchal,0,0,1781,224542,0.494713684,0.505286316,0.578720239,0.710498362,0.449699448,0.401742213,0.434860106,0.36931728,0.15310276,0.002315825,0.598257787,0.849569346,0.560912961,0.150430654,0.679288294,2604
Panipat,Haryana,0,0,1268,967449,0.546654139,0.453345861,0.578302319,0.654859509,0.485988021,0.395680806,0.510259804,0.257518998,0.071776393,0.023977491,0.604319194,0.594727991,0.531483274,0.405272009,0.647008264,814
